Solution,AUC,ACE,Equity_Gap,DenseNet121,ResNet50,ResNet101,EfficientNet-B4,VGG16,Inception-v3,MobileNetV2
88,0.9870072350715612,0.006215045820622247,0.0004084736481444473,0.08868791262913278,0.3701345454334619,0.002066158452380712,0.0002823284225565615,0.4776205287303944,0.035385156372152275,0.025823369959921412
89,0.9857935542838799,0.003941106814587664,0.00018482359704641294,0.01999053358231916,0.17988480380564167,0.014866391099859228,0.00012695222395802506,0.6635240918233828,0.025657328273326344,0.09594989919151284
90,0.9840892916061694,0.0030152013338083463,0.00014894837618306678,0.001914359698734334,0.0443310161225712,0.017090477875482277,0.00482297250925143,0.743188099946337,0.03115873103050526,0.15749434281711844
91,0.9853098301907972,0.008687839807613349,0.00010078153314885263,0.001617893263050697,0.17345871005067262,0.001313921965007509,0.002397393780678109,0.5886940930439515,0.050687159422499524,0.18183082847414012
92,0.988245071774153,0.009028802757522578,0.0008481037509209255,0.049123810590651656,0.35443954114712933,0.13919971796975655,0.023259490891809738,0.31107354703097284,0.0622752806257194,0.06062861174396049
93,0.9853671182337085,0.0033247295373775984,0.00027515471207351094,0.043239198758629166,0.09724570491282658,0.010586100851314097,0.007807309257632114,0.7343026292908597,0.02835072186783156,0.07846833506090697
94,0.9878743738276595,0.00652319560124952,0.0008100304824070204,0.13570102356568953,0.2969838370783874,0.08455807140781933,0.0017378244898883107,0.4306926132654747,0.020399894817289838,0.029926735375450823
95,0.9844666072707395,0.0029382249009176943,0.0001657190615751425,0.0062738496221901524,0.059512074909359655,0.016930755568638142,0.004865151213995671,0.7337459493126964,0.03022692633779068,0.14844529303532927
96,0.9882129434992516,0.008967563844004723,0.0008245196916458752,0.1249261362394212,0.3235081435676892,0.13585310941970463,0.0004153200868159637,0.31113028026362377,0.04844431941651671,0.05572269100622852
97,0.9875698866480926,0.0022820601602797346,0.0009228014682911567,0.002959510078149237,0.7468662058429103,0.06228344828534001,0.057076750356511684,0.058505454673885876,0.01200137694775842,0.060307253815444405
98,0.9853826126503175,0.00330454093044549,0.0002785869052306378,0.04359190034802496,0.09800474940778038,0.010566426681339678,0.008013234855590837,0.7329983462360156,0.028298032314920684,0.07852731015632794
99,0.9852193789215856,0.0034824611286082153,0.00012137094240316504,0.01614479748242096,0.13021311442528677,0.011524806549383225,0.00010301971123666644,0.7020266570150212,0.06016482441344696,0.07982278040320422
